ExampleId,Success,SearchElapsed_s,TotalElapsed_s,ExpandedStates,GeneratedStates,PropagationAttempts,CollisionPointQueries,DeadlineRejections,TerminalConnectorAttempts,PeakLiveStates,EstimatedStateStorageBytes,AngularPathLength_deg
example01,1,0.468123,1.3087904,8,1189,1260,2546,0,2,1182,24969,138.843260723837
example02,1,0.8182134,2.244904,8,1188,1260,2548,0,2,1181,24948,141.13414262845
example03,1,0.1343324,0.397959,2,135,180,308,0,3,134,2835,12.85183392305
example04,1,0.2775729,0.3339335,2,81,101,2604,0,2,80,1701,12.9243955371228
example05,1,2.8438826,3.7233335,51,1119,7400,16796,0,26,1069,23499,244.724534276129
example06,1,30.4226941,30.510432,85,1660,8484,80883,152,75,1575,34860,26.8086521529843
example07,1,0.1102425,0.2857933,3,202,360,500,101,3,200,4242,33.2337293008262
example08,1,0.292469,0.4905507,8,716,1260,2256,0,3,709,15036,32.8357152796684
example09,1,0.4014214,0.6572555,6,490,900,1590,0,2,485,10290,32.4262862341581
example10,1,4.4963309,4.806035,19,240,1026,9590,167,11,222,5040,57.76238377219
example11,1,10.6141345,10.6951928,893,1374,29436,108190,113,6,477,28854,129.663348166159
example12,1,12.7685342,13.4354906,291,552,9570,15015,6312,2,274,11592,87.1288156835888
example13,1,5.5104496,5.69039,36,540,3535,35956,0,541,505,11340,34.5522311818311
example14,1,4.422333,5.1464707,28,280,891,21850,0,86,253,5880,19.3477032488201
example15,1,1.057845,1.4321267,29,483,924,49022,20,2,455,10143,106.492232593141
