latitude_deg,longitude_deg,part_index
8.41309832,104.86148709,1
8.44003171,104.83930187,1
8.41110318,104.81963769,1
8.41309832,104.86148709,1
NaN,NaN,NaN
8.87740194,104.57291783,2
8.88218434,104.56969089,2
8.88059022,104.55710582,2
8.87740194,104.57291783,2
NaN,NaN,NaN
8.94275596,104.53387184,3
8.95741916,104.52451371,3
8.94721874,104.52064138,3
8.94275596,104.53387184,3
NaN,NaN,NaN
9.25106721,103.47382149,4
9.33014747,103.53743097,4
9.30589537,103.45461474,4
9.25106721,103.47382149,4
NaN,NaN,NaN
9.37697829,103.63549127,5
9.37411283,103.62742392,5
9.36742669,103.62710122,5
9.37697829,103.63549127,5
NaN,NaN,NaN
9.64113400,104.40608495,6
9.69171389,104.39285449,6
9.70348297,104.34412767,6
9.64113400,104.40608495,6
NaN,NaN,NaN
9.80668951,104.65720555,7
9.81645768,104.62478124,7
9.79753159,104.62168338,7
9.80668951,104.65720555,7
NaN,NaN,NaN
9.81542746,104.04466748,8
9.82369459,104.04918520,8
9.81987901,104.03401857,8
9.81542746,104.04466748,8
NaN,NaN,NaN
9.84372563,104.09049005,9
9.85008443,104.09081274,9
9.84181796,104.08403617,9
9.84372563,104.09049005,9
NaN,NaN,NaN
9.96487834,104.49785785,10
9.96696123,104.49691793,10
9.96510977,104.49080849,10
9.96487834,104.49785785,10
NaN,NaN,NaN
9.95339781,104.84430363,11
9.97214966,104.85785678,11
9.96992492,104.83204125,11
9.95339781,104.84430363,11
NaN,NaN,NaN
10.01486421,104.46002627,12
10.01833516,104.46026125,12
10.01926074,104.45791147,12
10.01486421,104.46002627,12
NaN,NaN,NaN
10.02490332,104.55839659,13
10.03316517,104.54807038,13
10.01568794,104.54516613,13
10.02490332,104.55839659,13
NaN,NaN,NaN
10.10020541,104.51547827,14
10.14531468,104.53548531,14
10.16818456,104.51031516,14
10.10020541,104.51547827,14
NaN,NaN,NaN
10.20857131,104.22598288,15
10.20979084,104.22164587,15
10.20430293,104.22123282,15
10.20857131,104.22598288,15
NaN,NaN,NaN
10.24800030,104.51635600,16
10.25023582,104.51346466,16
10.25023582,104.51160594,16
10.24800030,104.51635600,16
NaN,NaN,NaN
10.25615478,104.30443628,17
10.29330455,104.34477305,17
10.29774953,104.31476250,17
10.25615478,104.30443628,17
NaN,NaN,NaN
10.35806803,104.31605327,18
10.36346438,104.31637597,18
10.35965520,104.30540437,18
10.35806803,104.31605327,18
NaN,NaN,NaN
10.37443536,104.05878535,19
10.37013034,103.81200498,19
9.90788433,103.99222967,19
10.37443536,104.05878535,19
NaN,NaN,NaN
10.40155365,104.33702839,20
10.44979338,104.32153907,20
10.41266214,104.32024830,20
10.40155365,104.33702839,20
NaN,NaN,NaN
10.50153193,108.96915697,21
10.53871200,108.95655173,21
10.52477000,108.93843170,21
10.50153193,108.96915697,21
NaN,NaN,NaN
11.22343678,108.82989931,22
11.23356534,108.82796315,22
11.22501939,108.82021849,22
11.22343678,108.82989931,22
NaN,NaN,NaN
12.00227273,109.32555755,23
12.00637601,109.32523486,23
12.00700728,109.32071714,23
12.00227273,109.32555755,23
NaN,NaN,NaN
12.04298719,109.32942989,24
12.05056129,109.32717103,24
12.03446607,109.32136253,24
12.04298719,109.32942989,24
NaN,NaN,NaN
12.16841197,109.31184951,25
12.17164209,109.29801238,25
12.16255726,109.30172982,25
12.16841197,109.31184951,25
NaN,NaN,NaN
12.17083456,109.25195747,26
12.17870786,109.24101168,26
12.17366090,109.23873992,26
12.17083456,109.25195747,26
NaN,NaN,NaN
12.19001269,109.34633906,27
12.19344442,109.34592601,27
12.19122389,109.34200205,27
12.19001269,109.34633906,27
NaN,NaN,NaN
12.22473166,109.30462116,28
12.21423571,109.23915296,28
12.19142576,109.31701261,28
12.22473166,109.30462116,28
NaN,NaN,NaN
12.27316912,109.36575234,29
12.27639796,109.35728485,29
12.26933481,109.35687180,29
12.27316912,109.36575234,29
NaN,NaN,NaN
12.28305734,109.37380679,30
12.28870758,109.37070892,30
12.27861777,109.36885020,30
12.28305734,109.37380679,30
NaN,NaN,NaN
12.35811495,109.37835032,31
12.36416705,109.37607855,31
12.36134276,109.37174154,31
12.35811495,109.37835032,31
NaN,NaN,NaN
12.48509882,109.35912704,32
12.49142218,109.34617384,32
12.48238875,109.35198956,32
12.48509882,109.35912704,32
NaN,NaN,NaN
12.63031967,109.34592601,33
12.61318933,109.30833859,33
12.55715505,109.40292671,33
12.63031967,109.34592601,33
NaN,NaN,NaN
12.68009189,109.26083801,34
12.68210676,109.25835972,34
12.67706956,109.25815320,34
12.68009189,109.26083801,34
NaN,NaN,NaN
12.69741921,109.28706659,35
12.72501960,109.31536042,35
12.71857306,109.29470799,35
12.69741921,109.28706659,35
NaN,NaN,NaN
12.82651801,109.39329177,36
12.83245660,109.39608332,36
12.83022965,109.39269963,36
12.82651801,109.39329177,36
NaN,NaN,NaN
13.28451818,109.33963849,37
13.29237930,109.33119395,37
13.28559016,109.32678810,37
13.28451818,109.33963849,37
NaN,NaN,NaN
13.60583445,109.36578986,38
13.62381219,109.35135277,38
13.61533505,109.34924736,38
13.60583445,109.36578986,38
NaN,NaN,NaN
13.68126773,109.25862429,39
13.68461933,109.25714593,39
13.68186623,109.25394282,39
13.68126773,109.25862429,39
NaN,NaN,NaN
14.13873229,109.29616097,40
14.14369048,109.29601058,40
14.14164889,109.29029590,40
14.13873229,109.29616097,40
NaN,NaN,NaN
14.24778747,109.21435078,41
14.25463811,109.21420039,41
14.25390933,109.20893687,41
14.24778747,109.21435078,41
NaN,NaN,NaN
14.36072356,109.18728123,42
14.36349160,109.18848432,42
14.36174336,109.18382234,42
14.36072356,109.18728123,42
NaN,NaN,NaN
15.37147848,109.13072772,43
15.39448852,109.13109488,43
15.38316082,109.09878530,43
15.37147848,109.13072772,43
NaN,NaN,NaN
15.42776009,109.08703637,44
15.43129930,109.08777068,44
15.42634438,109.07602174,44
15.42776009,109.08703637,44
NaN,NaN,NaN
15.80915827,108.69831180,45
15.81688583,108.70232755,45
15.81357406,108.68855927,45
15.80915827,108.69831180,45
NaN,NaN,NaN
15.90128857,108.53714210,46
15.91032786,108.54301656,46
15.91303957,108.53361742,46
15.90128857,108.53714210,46
NaN,NaN,NaN
15.93518381,108.48192210,47
15.94670689,108.48897146,47
15.94263999,108.47769248,47
15.93518381,108.48192210,47
NaN,NaN,NaN
15.97020287,108.42411733,48
15.97449511,108.42364737,48
15.97133242,108.41894780,48
15.97020287,108.42411733,48
NaN,NaN,NaN
15.97201014,108.45818925,49
15.97969086,108.44996499,49
15.97088060,108.44573537,49
15.97201014,108.45818925,49
NaN,NaN,NaN
15.92275622,108.53996184,50
15.97562463,108.51787384,50
15.96139220,108.49649078,50
15.92275622,108.53996184,50
NaN,NaN,NaN
16.21290784,108.21146159,51
16.22193299,108.21146159,51
16.22193299,108.20253240,51
16.21290784,108.21146159,51
NaN,NaN,NaN
17.15415420,107.34488943,52
17.16397694,107.33791350,52
17.15696075,107.33203903,52
17.15415420,107.34488943,52
NaN,NaN,NaN
17.93440265,106.53326235,53
17.93769344,106.53536776,53
17.93740729,106.52980346,53
17.93440265,106.53326235,53
NaN,NaN,NaN
18.10394140,106.46580465,54
18.10595150,106.45922525,54
18.10081452,106.45476065,54
18.10394140,106.46580465,54
NaN,NaN,NaN
18.11667165,106.49235725,55
18.11868161,106.48977248,55
18.11577833,106.48789265,55
18.11667165,106.49235725,55
NaN,NaN,NaN
18.32221073,106.16912879,56
18.32412944,106.16701135,56
18.32029199,106.16653011,56
18.32221073,106.16912879,56
NaN,NaN,NaN
18.75061352,105.85231280,57
18.77524777,105.84584619,57
18.76869797,105.83501837,57
18.75061352,105.85231280,57
NaN,NaN,NaN
18.79945132,105.78012734,58
18.80856235,105.77787155,58
18.80742350,105.77080339,58
18.79945132,105.78012734,58
NaN,NaN,NaN
18.80158676,105.96901264,59
18.81126709,105.96119255,59
18.80955884,105.95352284,59
18.80158676,105.96901264,59
NaN,NaN,NaN
18.85411007,105.76102827,60
18.85980266,105.76478793,60
18.85894879,105.75952441,60
18.85411007,105.76102827,60
NaN,NaN,NaN
19.34990614,105.93686755,61
19.35434019,105.93616261,61
19.34924102,105.92840831,61
19.34990614,105.93686755,61
NaN,NaN,NaN
19.32972970,105.91360465,62
19.35766564,105.89198661,62
19.35167977,105.88681708,62
19.32972970,105.91360465,62
NaN,NaN,NaN
19.36542478,105.93263793,63
19.38249358,105.93545768,63
19.37540027,105.91524951,63
19.36542478,105.93263793,63
NaN,NaN,NaN
19.90389551,106.02177420,64
19.90633894,106.02138921,64
19.90480049,106.01811680,64
19.90389551,106.02177420,64
NaN,NaN,NaN
20.12467106,107.73633461,65
20.15996825,107.74949342,65
20.14320308,107.72106099,65
20.12467106,107.73633461,65
NaN,NaN,NaN
20.60930388,107.21515180,66
20.61436243,107.20622261,66
20.60776428,107.20481274,66
20.60930388,107.21515180,66
NaN,NaN,NaN
20.61040357,107.14888780,67
20.62535870,107.16087172,67
20.63349542,107.13643393,67
20.61040357,107.14888780,67
NaN,NaN,NaN
20.70423362,107.47412773,68
20.72483878,107.48330658,68
20.72174818,107.46825326,68
20.70423362,107.47412773,68
NaN,NaN,NaN
20.75162129,107.40216549,69
20.75608459,107.39775964,69
20.74544113,107.39078371,69
20.75162129,107.40216549,69
NaN,NaN,NaN
20.75127796,107.50166430,70
20.76432416,107.50166430,70
20.75471128,107.49101682,70
20.75127796,107.50166430,70
NaN,NaN,NaN
20.77119013,107.42382759,71
20.79899412,107.41501589,71
20.78183177,107.39702533,71
20.77119013,107.42382759,71
NaN,NaN,NaN
20.80654494,107.38270632,72
20.84257772,107.35553690,72
