ExampleId,Passed,ExampleElapsed_s,ProcessWall_s,PublicEntryPoint,FailureIdentifier,Summary
example01,0,46.417749,59.702454,planAzElDijkstra,example01PlanFromAzElData:NoPath,"search budget expired before legacy Dijkstra started"
example02,1,80.845743,97.264486,planAzElDijkstra,,"138.244 deg path"
example03,1,6.734422,20.666967,planAzElDijkstra,,"1.070 s search; 72 expansions"
example04,1,16.442678,31.253361,planAzElDijkstra,,"10.022 s search; 213 expansions"
example05,1,17.624343,32.306947,planAzElDijkstra,,"10.62 s search; 4.09 turns"
example06,1,14.254664,27.538013,planAzElDijkstra,,"7.73 s search; 5 stopped intervals"
example07,1,8.851216,23.837165,planAzElDijkstra,,"2.46 s search; maximum unwrapped step 1 deg"
example08,1,8.802626,21.458921,planAzElDijkstra,,"1.68 s search; alternating crossings"
example09,1,11.948392,25.594380,planAzElDijkstra,,"4.58 s search; U-trap escape"
example10,1,17.087613,31.097377,planAzElDijkstra,,"10.562 s search; 193 expansions"
example11,1,19.879230,33.268386,planAzElDijkstra,,"12.347 s search; goal at 73.4 s"
example12,1,42.189757,55.838015,planAzElDijkstra,,"28.621 s search; 110.5 deg follow angle"
example13,1,12.875986,25.774607,planAzElMovingTargetIntercept,,"4.27 s search; capture 32 s; 2 attempts"
example14,1,42.955165,55.853125,planAzElMovingTargetIntercept,,"capture 56 s; 8.6 s checked tracking"
example15,1,66.708986,80.016245,planAzElDijkstra,,"59.87 s search; 14 s protected wait"
