ExampleId,File,PublicEntryPoint,Invocation
example01,examples/example01PlanFromAzElData.m,planAzElDijkstra,direct
example02,examples/example02VietnamChinaAvoidance.m,planAzElDijkstra,direct
example03,examples/example03KinodynamicDetour.m,planAzElDijkstra,direct
example04,examples/example04DynamicSafeIntervals.m,planAzElDijkstra,direct
example05,examples/example05FiveTurnSpiral.m,planAzElDijkstra,runAzElGauntletCase
example06,examples/example06StopGoGates.m,planAzElDijkstra,runAzElGauntletCase
example07,examples/example07WrappedAzimuthSeam.m,planAzElDijkstra,runAzElGauntletCase
example08,examples/example08AlternatingSlalom.m,planAzElDijkstra,runAzElGauntletCase
example09,examples/example09UTrapEscape.m,planAzElDijkstra,runAzElGauntletCase
example10,examples/example10RotatingSlots.m,planAzElDijkstra,direct
example11,examples/example11ChasedBoresight.m,planAzElDijkstra,direct
example12,examples/example12SynchronizedWindmills.m,planAzElDijkstra,direct
example13,examples/example13RandomBlinkingIntercept.m,planAzElMovingTargetIntercept,direct
example14,examples/example14MovingRendezvousAndTrail.m,planAzElMovingTargetIntercept,direct
example15,examples/example15SpinningRodSpiral.m,planAzElDijkstra,direct
